True_Gesture,Predicted_Gesture,Count
Neck - scratch,Neck - pinch skin,30
Neck - pinch skin,Neck - scratch,27
Cheek - pinch skin,Eyelash - pull hair,25
Forehead - pull hairline,Forehead - scratch,24
Wave hello,Write name in air,20
Eyebrow - pull hair,Eyelash - pull hair,19
Eyelash - pull hair,Eyebrow - pull hair,16
Forehead - scratch,Forehead - pull hairline,15
Eyelash - pull hair,Cheek - pinch skin,14
Pinch knee/leg skin,Scratch knee/leg skin,13
Forehead - pull hairline,Eyebrow - pull hair,12
Forehead - scratch,Eyebrow - pull hair,12
Eyebrow - pull hair,Forehead - pull hairline,11
Cheek - pinch skin,Eyebrow - pull hair,10
Eyebrow - pull hair,Forehead - scratch,10
Neck - pinch skin,Above ear - pull hair,9
Above ear - pull hair,Eyebrow - pull hair,8
Neck - scratch,Cheek - pinch skin,8
Pull air toward your face,Write name in air,8
Wave hello,Pull air toward your face,8
Write name in air,Wave hello,8
Write name on leg,Scratch knee/leg skin,8
Cheek - pinch skin,Neck - scratch,7
Eyebrow - pull hair,Cheek - pinch skin,7
Eyelash - pull hair,Forehead - pull hairline,7
Scratch knee/leg skin,Write name on leg,7
Forehead - scratch,Eyelash - pull hair,6
Neck - pinch skin,Eyelash - pull hair,6
Eyebrow - pull hair,Neck - scratch,5
Eyelash - pull hair,Above ear - pull hair,5
Eyelash - pull hair,Neck - scratch,5
Neck - pinch skin,Cheek - pinch skin,5
Write name in air,Eyelash - pull hair,5
Write name in air,Pull air toward your face,5
Above ear - pull hair,Forehead - pull hairline,4
Above ear - pull hair,Neck - scratch,4
Cheek - pinch skin,Neck - pinch skin,4
Forehead - pull hairline,Above ear - pull hair,4
Forehead - pull hairline,Eyelash - pull hair,4
Forehead - scratch,Above ear - pull hair,4
Neck - scratch,Eyebrow - pull hair,4
Neck - scratch,Text on phone,4
Pinch knee/leg skin,Write name on leg,4
Write name on leg,Pinch knee/leg skin,4
Cheek - pinch skin,Glasses on/off,3
Drink from bottle/cup,Pull air toward your face,3
Eyebrow - pull hair,Above ear - pull hair,3
Eyelash - pull hair,Forehead - scratch,3
Forehead - scratch,Neck - pinch skin,3
Glasses on/off,Drink from bottle/cup,3
Neck - pinch skin,Eyebrow - pull hair,3
Neck - pinch skin,Forehead - pull hairline,3
Neck - scratch,Forehead - pull hairline,3
Pull air toward your face,Glasses on/off,3
Text on phone,Above ear - pull hair,3
Text on phone,Cheek - pinch skin,3
Text on phone,Eyebrow - pull hair,3
Text on phone,Eyelash - pull hair,3
Wave hello,Eyelash - pull hair,3
Above ear - pull hair,Cheek - pinch skin,2
Above ear - pull hair,Eyelash - pull hair,2
Above ear - pull hair,Glasses on/off,2
Above ear - pull hair,Neck - pinch skin,2
Cheek - pinch skin,Forehead - pull hairline,2
Cheek - pinch skin,Pull air toward your face,2
Drink from bottle/cup,Eyelash - pull hair,2
Forehead - scratch,Neck - scratch,2
Neck - scratch,Above ear - pull hair,2
Neck - scratch,Eyelash - pull hair,2
Neck - scratch,Glasses on/off,2
Pull air toward your face,Wave hello,2
Scratch knee/leg skin,Eyelash - pull hair,2
Text on phone,Drink from bottle/cup,2
Text on phone,Pinch knee/leg skin,2
Wave hello,Forehead - scratch,2
Write name on leg,Eyebrow - pull hair,2
Above ear - pull hair,Feel around in tray and pull out an object,1
Above ear - pull hair,Forehead - scratch,1
Above ear - pull hair,Write name in air,1
Cheek - pinch skin,Above ear - pull hair,1
Cheek - pinch skin,Forehead - scratch,1
Cheek - pinch skin,Text on phone,1
Cheek - pinch skin,Wave hello,1
Cheek - pinch skin,Write name in air,1
Drink from bottle/cup,Wave hello,1
Eyebrow - pull hair,Drink from bottle/cup,1
Eyebrow - pull hair,Glasses on/off,1
Eyebrow - pull hair,Neck - pinch skin,1
Eyebrow - pull hair,Text on phone,1
Eyelash - pull hair,Drink from bottle/cup,1
Eyelash - pull hair,Glasses on/off,1
Eyelash - pull hair,Pull air toward your face,1
Feel around in tray and pull out an object,Text on phone,1
Forehead - scratch,Cheek - pinch skin,1
Forehead - scratch,Glasses on/off,1
Forehead - scratch,Text on phone,1
Glasses on/off,Forehead - pull hairline,1
Glasses on/off,Text on phone,1
Neck - pinch skin,Drink from bottle/cup,1
Neck - scratch,Forehead - scratch,1
Neck - scratch,Pull air toward your face,1
Neck - scratch,Scratch knee/leg skin,1
Neck - scratch,Write name on leg,1
Pinch knee/leg skin,Eyelash - pull hair,1
Pull air toward your face,Above ear - pull hair,1
Pull air toward your face,Drink from bottle/cup,1
Pull air toward your face,Eyelash - pull hair,1
Pull air toward your face,Scratch knee/leg skin,1
Pull air toward your face,Text on phone,1
Scratch knee/leg skin,Forehead - pull hairline,1
Scratch knee/leg skin,Pinch knee/leg skin,1
Scratch knee/leg skin,Text on phone,1
Scratch knee/leg skin,Write name in air,1
Text on phone,Feel around in tray and pull out an object,1
Text on phone,Forehead - pull hairline,1
Text on phone,Forehead - scratch,1
Text on phone,Write name on leg,1
Wave hello,Drink from bottle/cup,1
Wave hello,Eyebrow - pull hair,1
Wave hello,Feel around in tray and pull out an object,1
Write name in air,Eyebrow - pull hair,1
Write name in air,Scratch knee/leg skin,1
Write name on leg,Neck - pinch skin,1
