True_Gesture,Predicted_Gesture,Count
Write name in air,Wave hello,29
Pull air toward your face,Wave hello,28
Neck - pinch skin,Neck - scratch,27
Forehead - pull hairline,Forehead - scratch,26
Neck - scratch,Neck - pinch skin,25
Cheek - pinch skin,Eyelash - pull hair,20
Eyebrow - pull hair,Forehead - scratch,17
Forehead - scratch,Forehead - pull hairline,17
Eyebrow - pull hair,Forehead - pull hairline,14
Eyebrow - pull hair,Eyelash - pull hair,13
Eyelash - pull hair,Cheek - pinch skin,12
Forehead - scratch,Eyebrow - pull hair,12
Pull air toward your face,Write name in air,11
Pinch knee/leg skin,Scratch knee/leg skin,10
Wave hello,Pull air toward your face,10
Write name in air,Pull air toward your face,10
Eyelash - pull hair,Eyebrow - pull hair,9
Cheek - pinch skin,Neck - pinch skin,8
Eyelash - pull hair,Text on phone,8
Cheek - pinch skin,Eyebrow - pull hair,7
Forehead - pull hairline,Eyebrow - pull hair,7
Neck - pinch skin,Above ear - pull hair,7
Neck - scratch,Cheek - pinch skin,7
Scratch knee/leg skin,Write name on leg,7
Text on phone,Eyelash - pull hair,7
Above ear - pull hair,Eyebrow - pull hair,6
Cheek - pinch skin,Neck - scratch,6
Eyebrow - pull hair,Cheek - pinch skin,6
Eyebrow - pull hair,Text on phone,6
Forehead - scratch,Text on phone,6
Neck - scratch,Above ear - pull hair,6
Pinch knee/leg skin,Write name on leg,6
Scratch knee/leg skin,Pinch knee/leg skin,6
Wave hello,Write name in air,6
Cheek - pinch skin,Text on phone,5
Eyelash - pull hair,Forehead - scratch,5
Write name on leg,Pinch knee/leg skin,5
Write name on leg,Scratch knee/leg skin,5
Above ear - pull hair,Neck - scratch,4
Cheek - pinch skin,Forehead - scratch,4
Drink from bottle/cup,Text on phone,4
Eyelash - pull hair,Above ear - pull hair,4
Eyelash - pull hair,Neck - scratch,4
Feel around in tray and pull out an object,Text on phone,4
Forehead - pull hairline,Above ear - pull hair,4
Forehead - scratch,Eyelash - pull hair,4
Neck - pinch skin,Scratch knee/leg skin,4
Neck - scratch,Scratch knee/leg skin,4
Above ear - pull hair,Eyelash - pull hair,3
Above ear - pull hair,Forehead - scratch,3
Above ear - pull hair,Neck - pinch skin,3
Drink from bottle/cup,Write name in air,3
Eyebrow - pull hair,Above ear - pull hair,3
Eyebrow - pull hair,Neck - pinch skin,3
Eyelash - pull hair,Forehead - pull hairline,3
Glasses on/off,Text on phone,3
Neck - pinch skin,Cheek - pinch skin,3
Neck - pinch skin,Eyebrow - pull hair,3
Neck - pinch skin,Eyelash - pull hair,3
Neck - scratch,Wave hello,3
Pull air toward your face,Text on phone,3
Text on phone,Eyebrow - pull hair,3
Text on phone,Wave hello,3
Text on phone,Write name in air,3
Wave hello,Eyelash - pull hair,3
Write name in air,Eyelash - pull hair,3
Write name in air,Text on phone,3
Above ear - pull hair,Cheek - pinch skin,2
Above ear - pull hair,Forehead - pull hairline,2
Above ear - pull hair,Text on phone,2
Above ear - pull hair,Wave hello,2
Cheek - pinch skin,Wave hello,2
Drink from bottle/cup,Pull air toward your face,2
Eyebrow - pull hair,Neck - scratch,2
Eyelash - pull hair,Neck - pinch skin,2
Feel around in tray and pull out an object,Write name in air,2
Forehead - pull hairline,Text on phone,2
Forehead - scratch,Wave hello,2
Neck - pinch skin,Pinch knee/leg skin,2
Neck - scratch,Eyelash - pull hair,2
Neck - scratch,Pinch knee/leg skin,2
Neck - scratch,Pull air toward your face,2
Neck - scratch,Text on phone,2
Pinch knee/leg skin,Cheek - pinch skin,2
Pinch knee/leg skin,Text on phone,2
Pull air toward your face,Forehead - pull hairline,2
