True_Gesture,Predicted_Gesture,Count
Above ear - pull hair,Neck - pinch skin,26
Neck - pinch skin,Neck - scratch,26
Neck - scratch,Neck - pinch skin,26
Eyelash - pull hair,Eyebrow - pull hair,21
Eyebrow - pull hair,Forehead - scratch,17
Cheek - pinch skin,Eyebrow - pull hair,16
Cheek - pinch skin,Eyelash - pull hair,16
Cheek - pinch skin,Neck - pinch skin,16
Forehead - scratch,Forehead - pull hairline,16
Wave hello,Write name in air,14
Above ear - pull hair,Neck - scratch,13
Eyelash - pull hair,Neck - pinch skin,13
Forehead - pull hairline,Neck - pinch skin,13
Forehead - scratch,Neck - pinch skin,13
Write name in air,Wave hello,13
Cheek - pinch skin,Neck - scratch,12
Eyebrow - pull hair,Cheek - pinch skin,12
Eyebrow - pull hair,Eyelash - pull hair,12
Eyebrow - pull hair,Neck - pinch skin,12
Forehead - pull hairline,Eyebrow - pull hair,12
Forehead - pull hairline,Forehead - scratch,12
Write name on leg,Pinch knee/leg skin,12
Eyelash - pull hair,Cheek - pinch skin,11
Neck - pinch skin,Eyelash - pull hair,11
Scratch knee/leg skin,Pinch knee/leg skin,11
Eyebrow - pull hair,Neck - scratch,10
Eyelash - pull hair,Forehead - scratch,10
Write name in air,Above ear - pull hair,10
Eyelash - pull hair,Neck - scratch,9
Forehead - pull hairline,Cheek - pinch skin,9
Forehead - scratch,Eyebrow - pull hair,9
Above ear - pull hair,Forehead - pull hairline,8
Eyebrow - pull hair,Above ear - pull hair,8
Forehead - scratch,Eyelash - pull hair,8
Neck - scratch,Eyebrow - pull hair,8
Write name in air,Forehead - pull hairline,8
Neck - pinch skin,Above ear - pull hair,7
Cheek - pinch skin,Above ear - pull hair,6
Eyelash - pull hair,Forehead - pull hairline,6
Forehead - pull hairline,Eyelash - pull hair,6
Forehead - scratch,Neck - scratch,6
Neck - scratch,Eyelash - pull hair,6
Pull air toward your face,Above ear - pull hair,6
Cheek - pinch skin,Forehead - pull hairline,5
Cheek - pinch skin,Forehead - scratch,5
Forehead - pull hairline,Neck - scratch,5
Neck - pinch skin,Eyebrow - pull hair,5
Neck - scratch,Above ear - pull hair,5
Text on phone,Eyelash - pull hair,5
Above ear - pull hair,Eyebrow - pull hair,4
Above ear - pull hair,Eyelash - pull hair,4
Eyelash - pull hair,Above ear - pull hair,4
Forehead - scratch,Text on phone,4
Neck - pinch skin,Forehead - pull hairline,4
Neck - scratch,Cheek - pinch skin,4
Wave hello,Pull air toward your face,4
Write name in air,Neck - pinch skin,4
Write name in air,Pull air toward your face,4
Write name on leg,Text on phone,4
Above ear - pull hair,Cheek - pinch skin,3
Eyebrow - pull hair,Forehead - pull hairline,3
Eyebrow - pull hair,Text on phone,3
Eyelash - pull hair,Text on phone,3
Forehead - pull hairline,Above ear - pull hair,3
Forehead - scratch,Above ear - pull hair,3
Forehead - scratch,Cheek - pinch skin,3
Neck - scratch,Forehead - pull hairline,3
